Name,Style,Brewery,ABV,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Anvil,Bitter - English Extra Special / Strong Bitter (ESB),AleSmith Brewing Company,5.5,12,56,8,54,57,20,3,25,68,3,118
Scarlet Lady Ale,Bitter - English Extra Special / Strong Bitter (ESB),Stoudts Brewing Co.,5,18,32,4,50,45,21,0,15,82,2,89
Lord Rear Admiral,Bitter - English Extra Special / Strong Bitter (ESB),Three Floyds Brewing Co. & Brewpub,6.4,18,57,13,77,118,63,1,105,110,11,117
Extra Special Ale (ESA),Bitter - English Extra Special / Strong Bitter (ESB),Yards Brewing Co.,6,13,55,11,59,54,20,1,18,75,20,90
Foster's Premium Ale,Bitter - English Extra Special / Strong Bitter (ESB),Foster's Group Limited,5.5,21,43,15,45,53,17,0,16,73,7,95
Belk's ESB,Bitter - English Extra Special / Strong Bitter (ESB),Anderson Valley Brewing Company,6.8,21,48,16,83,48,43,1,52,123,22,73
ESB,Bitter - English Extra Special / Strong Bitter (ESB),Green Man Brewery,5.5,15,39,7,46,65,23,0,29,70,6,123
Motor Boat,Bitter - English Extra Special / Strong Bitter (ESB),SweetWater Brewing Company,5.6,18,48,6,92,57,38,2,39,144,9,87
ESB Special Ale,Bitter - English Extra Special / Strong Bitter (ESB),Ska Brewing Co.,5.7,21,59,8,61,70,35,1,32,86,12,126
Autumn Ale,Bitter - English Extra Special / Strong Bitter (ESB),Short's Brewing Company,5.75,17,41,15,66,68,33,0,50,94,7,107
Halloween Ale,Bitter - English Extra Special / Strong Bitter (ESB),Gritty McDuff's Brewing Company,6,11,58,12,60,76,26,0,32,78,28,101
Bishops Finger,Bitter - English Extra Special / Strong Bitter (ESB),Shepherd Neame Ltd,5.4,10,34,11,44,52,25,1,36,56,6,79
13 Rebels ESB,Bitter - English Extra Special / Strong Bitter (ESB),French Broad Brewing Co.,5.2,14,31,7,54,41,27,0,26,77,2,84
Beast Bitter,Bitter - English Extra Special / Strong Bitter (ESB),"Middle Ages Brewing Co., Ltd.",5.3,31,59,10,112,62,54,0,53,130,8,99
Moondog Ale,Bitter - English Extra Special / Strong Bitter (ESB),Great Lakes Brewing Company,5.5,29,54,12,90,71,47,3,52,171,13,120
Magnumus Ete Tomahawkus ESB³,Bitter - English Extra Special / Strong Bitter (ESB),Rock Art Brewery,8,26,60,22,102,47,45,0,43,134,12,62
The Wise ESB,Bitter - English Extra Special / Strong Bitter (ESB),Elysian Brewing Company,5.9,24,63,10,105,74,34,1,37,140,12,126
Red Rack Ale,Bitter - English Extra Special / Strong Bitter (ESB),Woodstock Inn Brewery,5.5,20,56,12,52,75,38,0,27,66,3,109
Christmas Ale,Bitter - English Extra Special / Strong Bitter (ESB),Gritty McDuff's Brewing Company,6.2,9,69,22,52,61,24,0,27,67,21,112
Bachelor ESB,Bitter - English Extra Special / Strong Bitter (ESB),Deschutes Brewery,5.3,20,46,8,73,27,20,0,16,97,7,85
Bleeding Buckeye Red Ale,Bitter - English Extra Special / Strong Bitter (ESB),Elevator Brewery & Draught Haus,5.7,10,32,4,45,56,16,0,11,75,3,95
Extra Special Bitter (ESB),Bitter - English Extra Special / Strong Bitter (ESB),Propeller Brewery,5,14,59,9,87,79,30,0,38,112,9,105
Steel Wheels ESB,Bitter - English Extra Special / Strong Bitter (ESB),Blue Mountain Brewery,6.5,23,40,21,58,96,33,0,42,74,13,106
Batemans XXXB,Bitter - English Extra Special / Strong Bitter (ESB),George Bateman and Son Ltd. / Batemans Brewery,4.8,18,62,10,62,95,36,0,42,76,14,94
XX Bitch Creek,Bitter - English Extra Special / Strong Bitter (ESB),Grand Teton Brewing Co.,7.5,11,89,27,111,86,32,0,40,115,13,169
Adnams SSB (Suffolk Special Bitter),Bitter - English Extra Special / Strong Bitter (ESB),"Adnams plc, Sole Bay Brewery",4.5,16,46,18,65,52,33,0,25,69,6,72
Naughty Hildegard ESB,Bitter - English Extra Special / Strong Bitter (ESB),Driftwood Brewery,6.5,9,48,11,97,55,49,0,65,129,6,89
Honker's Ale,Bitter - English,Goose Island Beer Co.,4.3,14,35,3,53,66,28,1,32,58,1,79
Fuller's London Pride,Bitter - English,Fuller Smith & Turner PLC,4.7,21,49,9,58,67,32,0,33,101,6,108
Bluebird Bitter,Bitter - English,Coniston Brewing Co. Ltd,4.2,29,43,15,62,52,47,2,38,101,23,81
Spitfire Premium Kentish Ale,Bitter - English,Shepherd Neame Ltd,4.5,16,22,6,51,29,16,1,15,76,6,61
Younger's Special Bitter,Bitter - English,Rogue Ales,4.8,20,69,14,74,44,24,0,20,84,13,89
The Naughty Nurse,Bitter - English,City Steam Brewery Café,5,11,38,10,65,55,7,0,4,75,9,89
Ruddles County,Bitter - English,Greene King / Morland Brewery,4.7,15,60,9,65,49,20,0,24,93,14,97
Foster's Special Bitter,Bitter - English,Foster's Group Limited,5,20,39,8,37,31,30,1,19,43,2,56
Uncle Teddy's Bitter,Bitter - English,Victory Brewing Company,4,12,83,5,58,44,24,1,25,85,32,88
Doom Bar,Bitter - English,Sharp's Brewery,4.3,8,50,2,45,36,10,1,8,49,23,64
Long Haul Session Ale,Bitter - English,Two Brothers Brewing Company,4.2,17,40,6,54,48,35,0,23,65,17,88
Best Bitter,Bitter - English,Gritty McDuff's Brewing Company,5,18,61,4,77,55,26,0,22,101,13,89
Old Golden Hen,Bitter - English,Greene King / Morland Brewery,4.1,14,41,6,67,48,44,3,72,85,11,69
Hopback Summer Lightning,Bitter - English,Hop Back Brewery plc,5,37,35,3,66,18,26,0,18,85,9,36
Belhaven Best,Bitter - English,Belhaven Brewery Company Ltd.,3.5,7,73,14,33,63,17,2,18,49,4,99
Adnams Southwold Bitter,Bitter - English,"Adnams plc, Sole Bay Brewery",4.1,18,49,15,94,97,49,2,55,127,9,85
Geary's Winter Ale,Bitter - English,D.L. Geary Brewing Company,6,9,59,20,37,60,13,0,18,45,19,80
Brakspear Bitter,Bitter - English,W.H. Brakspear & Sons plc,3.4,18,52,5,73,34,19,0,17,85,11,74
Goliath,Bitter - English,Wychwood Brewery Company Ltd,4.2,12,41,19,49,47,27,0,24,77,9,74
McNellie's Pub Ale,Bitter - English,Marshall Brewing Company,5,27,50,7,58,62,34,3,30,96,8,116
Ruby Red Ale,Bitter - English,St. Peter's Brewery Co Ltd,4.3,19,47,12,71,73,28,0,33,78,14,122
Op & Top,Bitter - English,Brouwerij De Molen,4.5,19,38,8,70,55,72,0,81,112,7,55
Tetley's Smoothflow,Bitter - English,Carlsberg-Tetley Brewing Ltd,3.6,14,96,10,40,62,21,1,20,55,2,74
Arkell Best Bitter,Bitter - English,Wellington County Brewery,4,15,40,8,79,60,31,4,29,105,4,117
Chester County Bitter,Bitter - English,Sly Fox Brewing Company,4.5,14,85,10,74,32,31,0,30,91,37,82
Cain's Finest Bitter,Bitter - English,Robert Cain & Company Limited,4,15,59,7,68,60,17,1,22,91,3,104
Bitter,Bitter - English,Ridgeway Brewing,4,26,42,5,74,37,44,1,42,100,11,69
Colonel Blides Cask Ale,Bitter - English,Cricket Hill Brewing Co.,5.5,14,56,5,61,43,38,3,41,78,8,82
T.E.A. (Traditional English Ale),Bitter - English,Hog's Back Brewery,4.2,13,36,10,53,58,43,2,41,81,7,81
XB Bluebird Bitter,Bitter - English,Coniston Brewing Co. Ltd,4.4,31,51,2,64,55,73,0,66,82,6,69
Pitchfork Rebellious Bitter,Bitter - English,RCH Brewery,4.3,34,49,13,88,41,59,2,60,112,12,64
HopHead,Bitter - English,Dark Star Brewing Company Limited,3.8,25,57,8,67,15,33,0,29,85,21,23
Old Brewery BitterSamuel Smith Old Brewery (Tadcaster),Bitter - English,Samuel Smith Old Brewery (Tadcaster),4,10,91,9,58,62,42,1,41,68,21,75
Little Dog,Bitter - English,Hair of the Dog Brewing Company / Brewery and Tasting Room,3.5,9,31,8,44,13,24,3,26,61,9,53
Best Bitter,Bitter - English,St. Peter's Brewery Co Ltd,3.7,17,45,2,79,47,28,0,20,101,11,82
Camerons Strongarm,Bitter - English,Castle Eden & Camerons Brewing Company Ltd,4,16,49,13,60,62,22,0,16,66,12,89
HSB (Horndean Special Bitter),Bitter - English,George Gale & Company Ltd,4.8,13,47,7,54,40,28,0,29,64,14,64
St. Patrick's Best,Bitter - English,Strangford Lough Brewing Company Ltd,4.2,24,58,11,52,77,37,2,31,91,9,109
Hooky Bitter,Bitter - English,Hook Norton Brewery Co. Ltd.,3.5,23,60,9,83,71,56,0,58,117,16,113
West Bank Pub Ale,Bitter - English,Minneapolis Town Hall Brewery,4.8,18,44,6,86,39,59,1,70,120,14,59
Adnams Bitter,Bitter - English,"Adnams plc, Sole Bay Brewery",4.1,18,60,10,95,63,42,0,39,109,13,90
DeuS (Brut Des Flandres),Bière de Champagne / Bière Brut,Brouwerij Bosteels,11.5,15,25,24,7,54,39,0,53,35,34,19
Nelson Sauvignon (Nelson Sauvin Brut),Bière de Champagne / Bière Brut,Mikkeller ApS,9,37,27,10,39,86,119,2,111,47,8,22
Malheur Bière Brut (Brut Reserve),Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,12,29,45,29,16,91,65,6,79,35,13,47
Malheur Brut Noir (Black Chocolate),Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,12,20,78,40,17,124,49,0,95,21,16,70
Krait Prestige,Bière de Champagne / Bière Brut,Cobra Beer Partnership Limited,8,35,31,35,21,104,49,0,62,30,9,72
Eisenbahn Lust,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,11.5,21,48,43,18,109,65,4,67,20,28,62
Šamp - Pivní Sekt,Bière de Champagne / Bière Brut,Pivovarský D&#367;m,5,10,12,3,10,14,22,0,24,16,3,15
Eisenbahn Lust Prestige,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,11.5,2,3,4,1,4,1,0,5,1,0,3
Summer Love,Blonde Ale - American,Victory Brewing Company,5.2,30,19,2,61,17,41,2,48,88,3,38
Sweet Action,Blonde Ale - American,Sixpoint Brewery,5,13,38,7,54,39,38,0,40,81,2,50
Big Wave Golden Ale,Blonde Ale - American,Kona Brewing Co.,4.4,9,25,7,31,35,27,2,35,49,0,34
Twilight Summer Ale,Blonde Ale - American,Deschutes Brewery,5,28,37,8,62,48,79,0,82,102,17,100
Tire Bite Golden Ale,Blonde Ale - American,Flying Dog Brewery,5.1,28,34,8,29,31,25,1,19,49,5,54
Export Ale,Blonde Ale - American,Shipyard Brewing Co.,5.1,15,41,13,34,45,39,7,35,61,4,85
Fireman's #4,Blonde Ale - American,Real Ale Brewing Company,5.1,14,17,10,24,26,21,8,26,39,10,36
India Pale Ale,Blonde Ale - American,Alexander Keith's,5,6,12,4,20,12,2,0,2,28,0,23
Samurai Ale,Blonde Ale - American,Great Divide Brewing Company,5.1,36,31,6,43,47,58,3,50,71,4,107
Bombshell Blonde,Blonde Ale - American,Southern Star Brewing Company,5.25,29,41,10,28,27,26,5,30,41,6,67
Farmhouse Summer Ale,Blonde Ale - American,Flying Fish Brewing Company,4.6,12,17,6,28,27,35,4,33,41,14,46
Single Chair Golden Ale,Blonde Ale - American,Magic Hat Brewing Company,5,22,40,10,22,34,45,3,34,50,7,64
Citra Blonde Summer Brew,Blonde Ale - American,Widmer Brothers Brewing Company,4.3,48,42,13,71,22,80,2,97,55,0,45
True Blonde Ale,Blonde Ale - American,Ska Brewing Co.,5.3,27,38,6,31,57,42,1,42,44,7,84
Prairie Path Ale,Blonde Ale - American,Two Brothers Brewing Company,5.1,24,26,7,43,38,32,1,37,70,7,68
Summer Ale,Blonde Ale - American,Blue Point Brewing Company,4.4,16,22,3,25,14,25,6,27,37,1,46
Aud Blonde,Blonde Ale - American,Russian River Brewing Company,4.5,27,38,4,51,27,43,0,36,80,8,49
Gossamer Golden Ale,Blonde Ale - American,Half Acre Beer Company,4.2,23,44,9,55,41,54,5,74,97,5,67
Heavy Seas - Gold Ale,Blonde Ale - American,Heavy Seas Beer,4.5,22,31,7,34,33,27,3,31,53,3,61
Sum'r Summer Ale,Blonde Ale - American,Uinta Brewing Company,4,27,34,6,41,30,48,4,48,61,1,65
Summer Honey Ale,Blonde Ale - American,Big Sky Brewing Company,4.7,19,46,18,36,78,24,6,27,73,28,120
Ballantine XXX Ale,Blonde Ale - American,Pabst Brewing Company,4.85,18,41,4,33,27,16,2,14,64,3,51
Molson Export,Blonde Ale - American,Molson Coors Canada,5,19,31,6,33,30,25,0,18,39,2,43
Lonely Blonde,Blonde Ale - American,Fulton Beer,4.8,26,32,19,32,45,35,4,41,50,4,92
Summer Blonde Ale,Blonde Ale - American,River Horse Brewing Co.,4.5,15,23,5,17,21,32,0,34,27,3,44
Knockout Blonde,Blonde Ale - American,Lawson's Finest Liquids,5,28,35,16,102,30,64,5,76,148,9,62
Blonde Ale,Blonde Ale - American,Thomas Hooker Brewing Company,4.6,19,33,3,36,22,35,1,27,54,3,60
Bare Ass Blonde Ale,Blonde Ale - American,DuClaw Brewing Company,5,25,30,6,27,32,24,3,24,39,0,66
NOLA Blonde AleNew Orleans Lager & Ale Brewing Company (NOLA),Blonde Ale - American,New Orleans Lager & Ale Brewing Company (NOLA),4.9,10,24,7,36,49,52,2,44,52,3,66
Alamo Golden Ale,Blonde Ale - American,Alamo Beer Co.,5.1,21,21,9,29,18,5,1,5,44,4,50
Golden Ale,Blonde Ale - American,Mayflower Brewing Company,4.7,32,34,9,29,26,17,3,17,46,7,48
Leffe Blonde,Blonde Ale - Belgian,Abbaye de Leffe S.A.,6.6,14,23,12,13,34,11,0,28,16,22,32
Affligem Blond,Blonde Ale - Belgian,Brouwerij De Smedt / Brouwerij Affligem,6.8,19,28,12,20,47,36,0,38,25,17,41
Trappist Westvleteren BlondBrouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Blonde Ale - Belgian,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),5.8,33,46,10,44,40,55,0,70,57,32,46
Devotion,Blonde Ale - Belgian,The Lost Abbey,6,31,33,10,74,45,49,4,72,112,38,63
Grimbergen Blonde,Blonde Ale - Belgian,Brouwerij Alken-Maes,6.7,11,31,16,19,63,57,2,45,22,25,45
Maredsous 6 - Blonde,Blonde Ale - Belgian,Brouwerij Duvel Moortgat NV,6,13,38,12,24,66,41,0,54,45,16,66
Saxo,Blonde Ale - Belgian,Brasserie Caracole,8,17,37,26,24,92,76,3,96,61,24,61
La Trappe Blond (Koningshoeven / Dominus),Blonde Ale - Belgian,Bierbrouwerij De Koningshoeven B.V.,6.5,23,53,28,28,61,45,0,52,36,25,45
Augustijn Blond,Blonde Ale - Belgian,Brouwerij Van Steenberge N.V.,7.5,22,31,28,20,71,40,3,64,28,29,42
