Date,eth_usd,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Percent_B
20/05/2023,ETH/USD,1812.766113,1829.009644,1808.046753,1820.478027,1820.478027,2951655969,1844.647992,1839.039746,45.84836928,-20.92789394,-19.09151168,1939.719,1749.576984,190.1420165,0.372884673
21/05/2023,ETH/USD,1820.138062,1827.921997,1799.946899,1804.531372,1804.531372,3386768865,1843.276819,1835.753234,43.63294314,-21.00197282,-19.47360391,1939.820185,1746.733453,193.0867321,0.299336566
22/05/2023,ETH/USD,1804.841919,1826.696533,1793.223999,1817.53479,1817.53479,4534841049,1840.614093,1834.018144,45.92741692,-19.78336341,-19.53555581,1936.912609,1744.315577,192.5970312,0.380167919
23/05/2023,ETH/USD,1817.781128,1869.343994,1816.287964,1854.380615,1854.380615,6820047160,1838.100531,1835.957427,51.90190946,-15.6638929,-18.76122323,1930.110686,1746.090376,184.0203093,0.588468954
24/05/2023,ETH/USD,1854.299683,1854.299683,1780.925537,1800.099976,1800.099976,7101647419,1834.220325,1832.542432,44.16081542,-16.58796113,-18.32657081,1925.76684,1742.67381,183.0930303,0.313644741
25/05/2023,ETH/USD,1799.845215,1815.994751,1763.365112,1805.953735,1805.953735,6321689859,1824.764966,1830.010175,45.11158293,-16.65594303,-17.99244525,1879.619412,1769.91052,109.7088917,0.328535042
26/05/2023,ETH/USD,1805.725464,1837.865845,1798.406006,1828.689697,1828.689697,5451414258,1821.188361,1829.884415,48.7608081,-14.70569892,-17.33509599,1863.875311,1778.501411,85.37389987,0.587864519
27/05/2023,ETH/USD,1828.575684,1836.18457,1817.492065,1831.118286,1831.118286,3216737652,1819.090454,1830.001927,49.14970882,-12.81640999,-16.43135879,1854.948751,1783.232157,71.71659426,0.667713374
28/05/2023,ETH/USD,1831.098633,1915.723267,1825.467285,1910.914185,1910.914185,6359610561,1822.184027,1837.707856,59.91507498,-4.824657129,-14.11001845,1874.666677,1769.701378,104.9652989,1.345328489
29/05/2023,ETH/USD,1909.297485,1926.421753,1879.077515,1893.078125,1893.078125,5884674572,1824.407776,1842.981215,57.00979577,0.068849982,-11.27424477,1884.40985,1764.405702,120.0041479,1.07223313
30/05/2023,ETH/USD,1893.09314,1916.574951,1883.934692,1901.026611,1901.026611,5363439784,1827.339032,1848.509348,57.9874846,4.53607697,-8.11218042,1895.714571,1758.963493,136.7510771,1.038844599
31/05/2023,ETH/USD,1901.098267,1907.0354,1852.094727,1874.130493,1874.130493,5984512548,1831.221027,1850.949457,53.54958842,5.838788666,-5.321986603,1900.952639,1761.489414,139.4632248,0.807675852
01/06/2023,ETH/USD,1873.914673,1887.705322,1846.227417,1862.201416,1862.201416,5640027197,1833.930109,1852.021072,51.66112467,5.841285536,-3.089332175,1904.054559,1763.805658,140.248901,0.701579529
02/06/2023,ETH/USD,1862.423706,1910.278442,1851.964722,1907.256592,1907.256592,6097746022,1839.487195,1857.281598,57.72510247,9.370819494,-0.597301841,1914.208476,1764.765914,149.4425625,0.953481229
